URL	Pret	Model Procesor:	Chipset video:	CPUMark	GPUMark	Capacitate HDD:	Tip unitate stocare:	Memorie standard:	Diagonala LCD	Rezolutie optima:	Greutate (Kg):	Sistem de operare:
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3540-i3_4030u-500gb-4gb-dvdrw-hd-l/	1799	intel core i3 4030u	intel hd  4400	2703	547	500	hdd	4	15.6	1366 x 768	2.2 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-450-g3-i5_6200u-500gb_7200rpm-4gb-dvdrw-fingerprint-l/	2324	intel core i5 6200u	intel hd  520	3898	788	500	hdd	4	15.6	1366 x 768	2.07	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-hp-zbook-17-i7_4810mq-1tb_7200rpmplus256gb-ssd-k2200m-2gb-dvdrw-win8-l/	9894	intel core i7 4810mq	quadro k2200m	8793	1573	256	ssd	8	17.3	1920 x 1080	2.93kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-l50_c_156-i7_5500u-1tb-4gb-930m-2gb-dvdrw-gold-l/	2899	intel core i7 5500u	930m	4029	858	1000	hdd	4	15.6	1366 x 768	2.2 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3450-i5_5200u-1tb_5400rpm-8gb-linux-fullhd-l/	3734	intel core i5 5200u 	intel hd  5500	3522	560	1000	hdd	8	14	1920 x 1080	1.9kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-zbook-15-i7_4710mq-1tb-8gb-k1100m-2gb-dvdrw-win10pro-fullhd-fingerprin-l/	7499	intel core  i7 4710mq	quadro k1100m	8006	966	1000	hdd	8	15.6	1920 x 1080	2.93kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-hp-elitebook-850-g2-i5_5300u-500gbplus32gb-4gb-win7pro-hd-fingerprint-l/	5654	intel core i5 5300u	intel hd  5500	3803	560	500	hdd	4	15.6	1366 x 768	1.83 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-hp-250-g4-i3_4005u-500gb-4gb-dvdrw-dos-2.0-hd-l/	1599	intel core i3 4005u 	intel hd  4400	2462	547	500	hdd	4	15.6	1366 x 768	2.1 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-radius-cl10w_c_105-dual-core-n3050-32gb-2gb-win10-touch-l/	1449	intel celeron n3050	intel hd 	899	311	32	ssd	2	11.6	1366 x 768	1.24	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e3450-i3_4005u-500gb_7200rpm-4gb-3ani-garantie-l/	2399	intel core i3 4005u 	intel hd  4400	2462	547	500	hdd	4	14	1366 x 768	1.9 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-asus-rog-gl752vy-i7_6820hk-1tbplus256gb-32gb-gtx980m-8gb-win10-fullhd-l/	12299	intel core i7 6820hk	gtx 980m	9041	5894	256	hdd	32	17.3	1920 x 1080	4.4	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-y50_70-i7_4720hq-256gb-16gb-nvidia-gtx960m-4gb-fullhd-l/	4699	intel core i7 4720hq 	gtx960m	8112	1670	256	ssd	16	15.6	1920 x 1080	2.4 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-y50_70-i5_4210h-1tb-4gb-gtx960m-4gb-fullhd-black-l/	2999	intel core i5 4210h 	gtx960m	4556	1670	1000	hdd	4	15.6	1920 x 1080	2.4kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-hp-250-g4-i3_4005u-500gb-4gb-amd-r5m330-2gb-dvdrw-l/	1599	intel core i3 4005u 	r5 m330	2462	550	500	hdd	4	15.6	1366 x 768	2.1 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-asus-x555lj-i3_4005u-500gb-4gb-nvidia-gt920m-2gb-dvdrw-albastru-l/	1599	intel core i3 4005u 	gt920m 	2462	-	500	hdd	4	15.6	1366 x 768	2.2 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-g50_70-i3_4005u-1tb-4gb-r5_m230-2gb-l/	1599	intel core i3 4005u 	r5 m230	2462	443	1000	hdd	4	15.6	1366 x 768	2.5 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-100_14-dual-core-n2840-500gb_5400rpm-2gb-win10-l/	1299	intel celeron  n2840	intel hd 	1052	311	500	hdd	2	14	1366 x 768	1.9kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-450-g2-i7_5500u-1tb-8gb-ati-r5_m255-2gb-fingerprint-l/	2799	intel core i7 5500u 	r5 m255	4029	727	1000	hdd	8	15.6	1366 x 768	2.06 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-v3_572g_50g7-i5_5200u-1tb-4gb-gt840m-2gb-l/	2099	intel core i5 5200u 	gt840m	3522	-	1000	hdd	4	15.6	1366 x 768	2.55 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-thinkpad-t550-i5_5200u-180gb-4gb-win7-pro-fullhd-fingerprint-l/	6599	intel core i5 5200u 	intel hd  5500	3522	560	180	ssd	4	15.6	1920 x 1080	2.13 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-asus-g752vy-i7_6820hk-1tbplus512gb-64gb-gtx980m-8gb-bluray-win10-fullhd-l/	13964	intel core i7 6820hk	gtx 980m	9041	5894	512	ssd	64	17.3	1920 x 1080	4.4	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-asus-x540sa-quad-core-n3700-500gb-4gb-dvdrw-hd-gold-l/	1399	intel pentium  n3700	intel hd 	1879	311	500	hdd	4	15.6	1366 x 768	1.9	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i7_5500u-2tb-16gb-gt920m-4gb-fullhd-dvd_rw-win8-resigi-l/	3999	intel core i7 5500u 	gt920m 	4029	-	2000	hdd	16	15.6	1920 x 1080	2 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-hp-250-g4-i3_4005u-1tb-4gb-amd-r5m330-2gb-dvdrw-l/	1699	intel core i3 4005u 	r5 m330	2462	550	1000	hdd	4	15.6	1366 x 768	2.1 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-acer-predator-17-i7_6700hq-1tbplus128gb-8gb-gtx970m-3gb-dvdrw-fullhd-l/	6599	intel core i7 6700hq	gtx 970m	7999	4159	1000	hdd	8	17.3	1920 x 1080	3.95 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-asus-rog-gl752vw_t4015d-i7_6700hq-1tb-8gb-gtx960m-4gb-fullhd-l/	4299	intel core i7 6700hq 	gtx960m	7999	1670	1000	hdd	8	17.3	1920 x 1080	3kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-alienware-15-i7_6700hq-1tbplus256gb-16gb-nvidia-gtx970m-3gb-win10-l/	10294	intel core i7 6700hq	gtx 970m	7999	4159	1000	hdd	16	15.6	1920 x 1080	3.207kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-450-g2-i5_5200u-1tb-8gb-amd-r5_m255-2gb-fingerprint-plus-geanta-l/	2399	intel core i5 5200u 	r5 m255	3522	727	1000	hdd	8	15.6	1366 x 768	2.06 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3550-i5_5200u-500gbplus8gb-4gb-gt830m-2gb-3ani-garantie-l/	3304	intel core i5 5200u 	gt830m	3522	-	500	ssh	4	15.6	1366 x 768	2.2 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e5250-i5_5300u-256gb-8gb-win8-hdf-l/	5859	intel core i5 5300u 	intel hd  5500	3803	560	256	ssd	8	12.5	1366 x 768	1.56 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-b50_80-i3_5005u-500gb-4gb-r5-m330-2gb-resigilat-l/		intel core i3 5005u	r5 m330	2910	550	500	hdd	4	15.6	1366 x 768	2.320	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-asus-n751jx_t7008d-i7_4720hq-1tb_7200rpmplus256gb-12gb-gtx950m-4gb-fullhd-l/	6199	intel core i7 4720hq 	gtx950m	8112	1400	256	hdd	12	17.3	1920 x 1080	3.4 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e3550-i5_5200u-500gb_7200rpm-4gb-3ani-garantie-l/	2914	intel core i5 5200u 	intel hd  5500	3522	560	500	hdd	4	15.6	1366 x 768	2.2 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-b50_30-dual-core-n2840-500gb-4gb-fingerprint-l/		intel celeron  n2840	intel hd 	1052	311	500	hdd	4	15.6	1366 x 768	2.32 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-e5_771g_54gz-i5_5200u-1tb-4gb-gt840m-2gb-dvdrw-l/	2599	intel core i5 5200u 	gt840m	3522	-	1000	hdd	4	17.3	1600 x 900	3 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i3_5005u-1tb-4gb-gt920m-2gb-dvd_rw-3-ani-garantie-resi-l/	1899	intel core i3 5005u 	gt920m 	2910	-	1000	hdd	4	15.6	1366 x 768	2 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-440-g3-i3_6100u-500gb_7200rpm-4gb-win10pro-hd-fingerprint-l/	2549	intel core i3 6100u	intel hd  520	3505	788	500	hdd	4	14	1366 x 768	1,68	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-7559-i7_6700hq-1tbplus8gb-8gb-gtx960m-4gb-win10-fullhd-l/	5104	intel core i7 6700hq	gtx 960m	7999	1670	1000	ssh	8	15.6	1920 x 1080	2.58	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-asus-x555lb_xx025d-i5_5200u-1tb-4gb-gt940m-2gb-l/	2199	intel core i5 5200u 	gt940m	3522	-	1000	hdd	4	15.6	1366 x 768	2.3 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5548-i7_5500u-1tbplus8gb-8gb-amd-r7_m270-4gb-win8-fullhd-touch-l/		intel core i7 5500u 	r7 m270	4029	769	1000	ssh	8	15.6	1920 x 1080	2.4 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-p50_c_14j-i7_5500u-1tbplus8gb-8gb-gtx950m-4gb-win10-fullhd-l/	4849	intel core i7 5500u 	gtx950m	4029	1400	1000	ssh	8	15.6	1920 x 1080	2.2 kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-alienware-17-i7_6700hq-1tbplus256gb-16gb-nvidia-gtx970m-3gb-win10-l/	10394	intel core i7 6700hq	gtx 970m	7999	4159	1000	hdd	16	17.3	1920 x 1080	3.780kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i5_5200u-1tb-8gb-gt920m-2gb-dvd_rw-win8-l/	3099	intel core i5 5200u  	gt920m 	3522	-	1000	hdd	8	15.6	1366 x 768	2 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e5250-i7_5600u-256gb-8gb-win7pro-hd-fingerprint-l/	6689	intel core i7 5600u 	intel hd  5500	4355	560	256	ssd	8	12.5	1366 x 768	1.56 kg	windows 7 pro
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-l50_c_15c-i7_5500u-1tb-8gb-nvidia-gt930m-2gb-fhd-gold-l/	3349	intel core i7 5500u	gt 930m	4029	-	1000	hdd	8	15.6	1920 x 1080	2.2 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-asus-x550jx_xx129d-i5_4200h-1tb-4gb-gtx950m-2gb-dvd_rw-l/	2599	intel core i5 4200h 	gtx950m	4412	1400	1000	hdd	4	15.6	1366 x 768	2.45 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e5550-i5_5300u-500gb_7200rpm-8gb-fpr-fullhd-l/	4569	intel core i5 5300u 	intel hd  5500	3803	560	500	hdd	8	15.6	1920 x 1080	2.14 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-l50_b_27n-i5_5200u-1tb-8gb-amd-r7_m260-2gb-resigilat-l/	2799	intel core i5 5200u 	r7 m260	3522	679	1000	hdd	8	15.6	1366 x 768	2.2 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-v5_591g-i5_6300hq-1tbplus8gb-8gb-nvidia-gtx950m-4gb-fullhd-l/	3349	intel core i5 6300hq	gtx 950m	5793	1400	1000	hdd	8	15.6	1920 x 1080	2.4 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-g50_80-i7_5500u-1tb-4gb-amd-r5m330-2gb-fullhd-l/	2399	intel core i7 5500u 	r5 m330	4029	550	1000	hdd	4	15.6	1920 x 1080	2.5 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i5_5200u-1tb-8gb-gt920m-2gb-dvdrw-3ani-garantie-l/	2499	intel core i5 5200u 	gt920m	3522	-	1000	hdd	8	15.6	1366 x 768	2.4 kg	linux
